segment_id,osm_id,osm_name,osm_type,start_lat,start_long,end_lat,end_long
2030,216691446,Old Lagos Road,primary,6.647160773377344,3.567521600929978,6.64678880097549,3.5630151716534413
2033,216691446,Old Lagos Road,primary,6.643565140062279,3.5546234069916105,6.641503740933423,3.5505972149392684
2036,216691446,Old Lagos Road,primary,6.637380907326498,3.542544888741835,6.635319486438298,3.538518747675428
2038,216691446,Old Lagos Road,primary,6.633258075138037,3.5344926150190017,6.631729974050212,3.5302478857015163
2039,216691446,Old Lagos Road,primary,6.631729974050212,3.5302478857015163,6.631154119322456,3.525765080639888
2040,216691446,Old Lagos Road,primary,6.631154119322456,3.525765080639888,6.630719648039722,3.521262754721996
2044,216691446,Old Lagos Road,primary,6.627676579803837,3.5081955556440825,6.626466699999998,3.5059591000000006
2045,216691447,Old Lagos Road,primary,6.6560969000000005,3.7945965000000004,6.654706999999997,3.7940482000000006
2051,216691448,,primary,6.643405627449111,3.8538650946406015,6.644546571305178,3.849506218795992
2053,216691448,,primary,6.645455031907808,3.8450756794209724,6.6463523746083055,3.8406433931492563
2057,216768520,Maroko Road,secondary,6.437460599999999,3.4396070999999995,6.4371988999999985,3.4399722999999995
2059,216768524,Ozumba Mbadiwe Rd,secondary,6.439986926385381,3.435865220264745,6.439951711895116,3.431625917426995
2062,216882038,Maroko Road,secondary,6.436322699999999,3.4551924000000005,6.437516736915787,3.451311703154877
2070,216882041,Admiralty Way,secondary,6.436113000000001,3.4554993,6.439843289667071,3.455482292587527
2071,216882041,Admiralty Way,secondary,6.439843289667071,3.455482292587527,6.443754896042688,3.454748772425661
2075,216882043,Lekki-Epe Expressway,secondary,6.432666051425255,3.458453286788899,6.430078774702497,3.4619950497346865
2077,217801498,,tertiary,6.509375499999998,3.3832762,6.509346500000001,3.3838825
2078,217801501,,tertiary,6.509349000000001,3.3839197,6.509334099999999,3.3842285000000003
2080,217801528,,tertiary,6.508773899999999,3.3788029000000006,6.508782199999999,3.3784568999999998
2082,217801574,,tertiary,6.510223099999999,3.3838426999999998,6.509629799999999,3.3837782
2083,217801580,,tertiary,6.5095846,3.3840508,6.510223099999999,3.3838426999999998
2084,217801588,,tertiary,6.508265,3.3784972,6.508773899999999,3.3788029000000006
2087,217801607,,tertiary,6.509334099999999,3.3842285000000003,6.511039,3.3883723000000003
2089,217853780,,tertiary,6.5125907000000005,3.3912007,6.513709600000001,3.3974334
2091,217853787,,tertiary,6.511211199999999,3.388591,6.511422699999998,3.388969
2099,217949993,,secondary,6.519042500000001,3.3913627999999996,6.519042500000001,3.3913627999999996
2101,217950003,University Road,secondary,6.518931773931704,3.393725922371852,6.5190525,3.3914775000000006
2103,217950009,,secondary,6.519210299999999,3.3980949000000003,6.519210299999999,3.3980949000000003
2105,218590461,Itire Road,secondary,6.5086466000000005,3.3684189,6.509513199999999,3.3709611
